CD44,TOP2A,SAMSN1,RBM47,CORO1A,ZC3HAV1,HLAA,group
6.840577134,6.489855303,5.64177863,6.251570203,8.097209329,4.329764877,11.40137736,0
4.720482368,3.989928605,3.532310413,4.189669197,5.900716401,3.674246528,9.214053142,0
4.903863393,4.300084417,3.375323461,4.572011642,6.517502437,3.751668006,8.201602321,0
6.921618063,4.889762251,5.027504853,5.30255353,6.94369812,4.854551719,10.66850564,1
6.656814445,5.667824992,5.235142092,5.844126787,7.500845739,5.26985561,10.45366397,0
6.557768516,4.392938598,4.843118749,5.646458939,7.991104244,4.65311264,11.01091247,1
6.614078323,5.051208362,5.052059003,5.575952729,7.613165218,4.559792309,10.19588047,1
6.169247868,5.084836896,4.637365805,5.399930107,7.227639308,4.450433566,11.31260041,1
4.770527102,4.256037508,3.919067038,4.897173152,6.175855197,4.402418912,10.17896071,0
5.506186623,4.376139515,3.939030962,4.875900184,6.092936385,3.972519404,11.36081463,0
7.331015248,5.99943732,5.982896832,6.132582689,8.183548251,5.16340787,11.19979432,1
6.831632069,5.137447933,5.920000334,6.325173319,7.743131037,4.37058645,10.90288401,1
5.81742192,4.96918947,5.304597535,5.752231951,6.769790497,4.484867113,10.37098202,0
5.712943371,4.176193886,4.538904077,5.490897287,6.398294854,4.218866693,11.05550527,0
7.483027414,5.879802927,6.410346535,6.253197178,8.524477565,5.328671088,11.40520518,1
6.110739046,4.468298356,4.346502945,5.30152925,6.870679527,4.265145819,10.86173256,0
6.398378603,4.987748733,5.815478833,6.284243688,7.119318605,5.283716975,10.54422117,1
5.842776119,4.222118862,4.167380678,5.628124735,6.37184214,4.407521154,9.873384541,0
5.919641573,3.966264078,3.770771497,4.747886701,5.49710392,4.457966488,9.608156595,0
5.685537451,6.445675912,4.194321109,4.592612469,6.403167995,5.173539907,11.12892166,0
6.684607441,6.217240565,5.367348822,5.742984305,7.683219425,5.040622052,10.68161116,1
4.900055089,4.330368483,3.628600138,4.6311154,5.673899472,3.95552454,10.81614804,0
7.874044492,7.968937575,6.746193509,6.583556551,7.632659871,5.795446686,11.96648651,1
6.472208523,4.291076252,5.271222481,6.014739324,7.616911577,4.685989157,10.27292732,1
6.143245287,5.339993972,5.772565191,5.78542111,6.660463361,4.781477987,10.12962356,0
6.748775579,6.731987702,5.104096672,6.040468471,7.59485413,5.420066033,10.41118132,1
7.216772667,7.803314751,6.722220015,6.528859753,7.854196798,5.400805809,10.74750693,1
6.740276037,5.653649793,5.660251008,6.091512111,7.725613047,4.883017451,10.95214694,1
7.210853187,6.265029445,5.408488872,5.8705149,7.42857992,5.199399073,11.20821895,1
7.949672163,6.171470482,6.384063531,7.442638329,8.634291067,6.172535244,11.16759351,0
8.294062853,8.31486663,7.625414957,7.630776254,9.397895323,6.064558508,12.10268003,1
7.831288398,7.823080734,6.939762166,7.342412247,8.832458357,6.533389766,11.56941382,1
8.133127242,7.54472781,7.014693787,6.912347209,9.264061793,6.242461824,12.22876556,1
7.1215988,6.694127431,6.589976221,6.206217752,7.196474492,5.527867893,10.7936213,0
6.776740301,6.650224573,3.824069834,4.844305254,6.299655415,4.253603612,10.21506854,0
8.156601116,7.702501888,6.682467402,6.87706387,8.494883618,6.285968117,11.99197875,0
5.639784765,4.595588652,3.550311462,4.705947003,5.779442168,4.488109527,9.783513751,0
